iter	RMSE
0	5.541798531
1	5.40164999
2	5.224906751
3	5.075001661
4	4.93675631
5	4.821496679
6	4.671290804
7	4.562135118
8	4.45823012
9	4.329625403
10	4.214675072
11	4.129918502
12	4.030321725
13	3.926898789
14	3.820978284
15	3.742281883
16	3.676074688
17	3.614841288
18	3.551999748
19	3.464674501
20	3.395561
21	3.327627809
22	3.262020866
23	3.203029586
24	3.153819253
25	3.087380016
26	3.028794063
27	2.966252652
28	2.922940031
29	2.870239978
30	2.81149661
31	2.762863648
32	2.728573716
33	2.675156961
34	2.631097498
35	2.589308631
36	2.562955504
37	2.528314985
38	2.502912554
39	2.479852643
40	2.452531541
41	2.430050324
42	2.397415296
43	2.36014383
44	2.325752534
45	2.303019371
46	2.270850125
47	2.241388638
48	2.216365335
49	2.200594246
50	2.177268494
51	2.165164549
52	2.14779339
53	2.130384683
54	2.107317182
55	2.095105636
56	2.077968208
57	2.063386575
58	2.046375495
59	2.029089416
60	2.020199251
61	2.002151449
62	1.990935284
63	1.9816752
64	1.966397582
65	1.952617209
66	1.936493502
67	1.927233416
68	1.917950307
69	1.909046809
70	1.904125873
71	1.893399787
72	1.883557681
73	1.869770174
74	1.858195761
75	1.851326305
76	1.840729521
77	1.823762656
78	1.81428772
79	1.809471619
80	1.796518309
81	1.789905045
82	1.783371275
83	1.777378624
84	1.772117093
85	1.760850964
86	1.756529105
87	1.749240285
88	1.736799855
89	1.729802257
90	1.72286883
91	1.717598145
92	1.710231791
93	1.706090807
94	1.695878611
95	1.689110802
96	1.685370374
97	1.678532079
98	1.674583468
99	1.670111794
100	1.663325847
101	1.659956806
102	1.6557864
103	1.648583205
104	1.637782318
105	1.633797292
106	1.629639573
107	1.625943461
108	1.621285852
109	1.617357108
110	1.611883689
111	1.607777599
112	1.602332125
113	1.597059301
114	1.57174223
115	1.564198469
116	1.55981115
117	1.556575154
118	1.553241233
119	1.546189791
120	1.538382974
121	1.534129982
122	1.530004544
123	1.522222747
124	1.516805933
125	1.509619104
126	1.50644783
127	1.501571862
128	1.494004099
129	1.489204596
130	1.483295588
131	1.479413402
132	1.475513989
133	1.472160929
134	1.467695104
135	1.464292834
136	1.458214509
137	1.454164489
138	1.450410296
139	1.445790045
140	1.442040449
141	1.436658298
142	1.430408054
143	1.425267504
144	1.420899278
145	1.415496932
146	1.412258049
147	1.408585892
148	1.405118587
149	1.402409067
150	1.398070144
151	1.394745645
152	1.391800964
153	1.388849789
154	1.381110026
155	1.376981982
156	1.372824777
157	1.368453427
158	1.361815953
159	1.354381769
160	1.349291048
161	1.344255061
162	1.339689512
163	1.336314031
164	1.332073391
165	1.328807977
166	1.327046762
167	1.322197243
168	1.318648729
169	1.315649106
170	1.311689792
171	1.303491446
172	1.298398958
173	1.295005315
174	1.289050195
175	1.286169684
176	1.282477239
177	1.279406547
178	1.274491757
179	1.259487919
180	1.255839517
181	1.253551419
182	1.250947091
183	1.247090525
184	1.242466395
185	1.239250108
186	1.236337628
187	1.230850593
188	1.226557344
189	1.223333222
190	1.22101858
191	1.216678534
192	1.213060502
193	1.210510728
194	1.208076984
195	1.203537982
196	1.20163604
197	1.195694735
198	1.190647488
199	1.186983579
200	1.183558503
201	1.178583571
202	1.171533502
203	1.168887573
204	1.167245013
205	1.164555875
206	1.161041806
207	1.158413027
208	1.154987324
209	1.152664276
210	1.150124463
211	1.143004422
212	1.134732187
213	1.131118939
214	1.128515624
215	1.126150998
216	1.123700509
217	1.121291495
218	1.119263014
219	1.117931215
220	1.111777112
221	1.109656809
222	1.105717433
223	1.101210683
224	1.099149753
225	1.096285321
226	1.09171994
227	1.085967523
