iter	Passed	Remaining
0	2	2338
1	4	2149
2	6	2048
3	7	1987
4	9	1919
5	11	1918
6	13	1902
7	15	1900
8	17	1912
9	19	1906
10	21	1909
11	23	1909
12	25	1912
13	27	1909
14	29	1921
15	31	1926
16	33	1925
17	35	1932
18	37	1938
19	39	1938
20	41	1943
21	43	1947
22	46	1960
23	48	1957
24	50	1957
25	52	1971
26	54	1968
27	56	1966
28	58	1967
29	61	1972
30	63	1971
31	65	1974
32	67	1973
33	69	1976
34	72	1986
35	74	1986
36	76	1989
37	78	1993
38	81	2005
39	83	2009
40	86	2019
41	89	2034
42	91	2040
43	93	2041
44	96	2044
45	98	2043
46	100	2043
47	103	2043
48	106	2064
49	109	2076
50	111	2082
51	114	2083
52	116	2086
53	119	2094
54	122	2098
55	124	2104
56	127	2109
57	129	2110
58	132	2115
59	135	2118
60	137	2120
61	140	2120
62	142	2117
63	144	2117
64	147	2119
65	149	2117
66	152	2119
67	154	2118
68	157	2122
69	159	2122
70	162	2119
71	164	2119
72	166	2114
73	168	2111
74	170	2107
75	173	2105
76	175	2101
77	177	2096
78	179	2092
79	181	2088
80	183	2083
81	185	2079
82	187	2074
83	189	2069
84	192	2068
85	194	2064
86	196	2060
87	198	2056
88	200	2052
89	202	2046
90	204	2043
91	206	2040
92	208	2035
93	210	2031
94	212	2027
95	214	2023
96	216	2018
97	218	2013
98	220	2010
99	222	2005
100	225	2002
101	227	1998
102	228	1993
103	231	1990
104	232	1985
105	235	1982
106	237	1978
107	239	1974
108	240	1969
109	242	1965
110	244	1960
111	246	1957
112	248	1953
113	250	1950
114	252	1945
115	254	1940
116	256	1936
117	258	1932
118	260	1928
119	262	1923
120	264	1920
121	266	1917
122	268	1914
123	270	1912
124	272	1910
125	275	1908
126	277	1906
127	279	1903
128	281	1900
129	283	1896
130	285	1893
131	287	1891
132	289	1888
133	291	1885
134	293	1881
135	295	1878
136	297	1875
137	299	1871
138	301	1868
139	303	1864
140	305	1861
141	307	1857
142	309	1855
143	311	1853
144	313	1850
145	316	1849
146	318	1847
147	320	1844
148	322	1842
149	325	1842
150	327	1839
151	329	1838
152	331	1836
153	333	1833
154	336	1832
155	338	1830
156	340	1828
157	342	1824
158	344	1820
159	346	1817
160	348	1813
161	350	1810
162	352	1807
163	354	1804
164	355	1801
165	357	1797
166	359	1794
167	361	1791
168	363	1787
169	365	1785
170	367	1781
171	369	1778
172	371	1774
173	373	1771
174	375	1768
175	377	1765
176	378	1761
177	381	1759
178	382	1756
179	385	1754
180	387	1751
181	389	1749
182	391	1747
183	393	1744
184	395	1742
185	397	1741
186	399	1738
187	402	1736
188	404	1734
189	406	1731
190	408	1728
191	410	1726
192	412	1724
193	414	1721
194	416	1719
195	418	1717
196	420	1715
197	422	1712
198	425	1711
199	427	1710
200	430	1710
201	432	1708
202	434	1706
203	436	1703
204	438	1702
205	441	1700
206	443	1697
207	446	1698
208	448	1696
209	450	1696
210	453	1695
211	455	1693
212	458	1693
213	460	1692
214	463	1691
215	465	1690
216	468	1689
217	470	1688
218	474	1692
219	479	1698
220	483	1702
221	486	1705
222	489	1706
223	492	1707
224	495	1707
225	498	1707
226	501	1707
227	504	1707
228	507	1709
229	511	1711
230	514	1712
231	517	1713
232	520	1714
233	523	1712
234	525	1711
235	528	1710
236	530	1707
237	532	1705
238	534	1703
239	537	1701
240	539	1698
241	541	1697
242	544	1695
243	546	1694
244	549	1693
245	552	1692
246	555	1693
247	558	1694
248	562	1695
249	565	1695
250	567	1693
251	569	1691
252	572	1689
253	574	1686
254	576	1685
255	579	1683
256	581	1682
257	584	1680
258	586	1679
259	588	1676
260	591	1674
261	593	1671
262	596	1670
263	598	1667
264	600	1665
265	602	1662
266	604	1660
267	607	1657
268	609	1655
269	611	1652
270	613	1649
271	615	1647
272	617	1644
273	619	1641
274	621	1638
275	623	1636
276	625	1633
277	627	1630
278	629	1627
279	632	1625
280	634	1623
281	636	1620
282	638	1618
283	641	1616
284	643	1614
285	645	1611
286	648	1609
287	650	1607
288	653	1606
289	655	1604
290	657	1602
291	659	1599
292	661	1596
293	664	1594
294	666	1591
295	668	1589
296	670	1586
297	672	1583
298	674	1580
299	676	1578
300	678	1575
301	680	1573
302	682	1570
303	684	1566
