obs_id,date,pm25,pm10,o3,no2,so2,env_index,Car_7-9,Van_7-9,Bus_7-9,Minibus_7-9,Truck_7-9,3Cycle_7-9,Car_9-17,Van_9-17,Bus_9-17,Minibus_9-17,Truck_9-17,3Cycle_9-17,Car_17-19,Van_17-19,Bus_17-19,Minibus_17-19,Truck_17-19,3Cycle_17-19,avg_ridership_monthly,avg_ridership_workday_monthly,TCI,tempmax,tempmin,temp,temp_calib,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,rain,windgust,windspeed,windspeedmax,windspeedmean,windspeedmin,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,conditions,weekend,seasons,holiday
1607,5/25/2024,50,24,11,,1,0.064032049,,,,,,,,,,,,,,,,,,,,,,34.4,27.5,30.3,30.31533301,45.1,31.9,37.5,25.8,77.1,0.632,100,12.5,TRUE,42.5,12.2,12.2,6.3,0.7,164.6,1007.4,46.4,10,114.7,10,6,0.56,"Rain, Partially cloudy",TRUE,Hot,Yes
1608,5/26/2024,42,26,11,,1,0.778897222,,,,,,,,,,,,,,,,,,,,,,34.2,25.6,30,29.98544645,45.4,25.6,36.6,25.6,77.6,11.729,100,20.83,TRUE,39.6,19.2,19.2,6.2,0.1,174.6,1008.1,49.6,9.7,177.8,15.4,8,0.550885723,"Rain, Partially cloudy",TRUE,Hot,yes
1609,5/27/2024,52,27,9,,1,0.579114532,,,,,,,,,,,,,,,,,,,,,,35.5,25.9,30.7,30.69384847,46.8,25.9,36.7,25.2,74.1,1.001,100,8.33,,41.4,10.4,10.4,5,0.2,191.8,1006.9,35.3,10,193,16.6,,0.63,"Rain, Partially cloudy",FALSE,hot,No
1610,5/28/2024,59,32,9,,,0.410545401,,,,,,,,,,,,,,,,,,,,,,35.6,27.3,31.6,31.60722052,46.8,31,38.6,25.1,69.7,0.007,100,4.17,TRUE,37.1,11.6,11.6,5.3,0.1,228.5,1006.7,42.4,10,190.8,16.5,9,,"Rain, Partially cloudy",FALSE,Hot,No
1611,5/29/2024,59,30,10,,,0.764583031,,,,,,,,,,,,,,,,,,,,,,34.9,28.7,31.9,31.90522583,44.4,33.5,39.3,25.1,67.8,0,0,0,FALSE,40.7,12,12,6.7,1.9,240,1006.2,43.9,10,211.3,18.3,10,0.7,Partially cloudy,FALSE,Hot,No
1612,5/30/2024,58,24,15,,1,0.730571124,,,,,,,,,,,,,,,,,,,,,,35.5,26,30.9,30.88617497,46.3,26,36.5,24.5,70,60.889,100,20.83,,35.3,11.5,11.5,6.1,2,226.5,1006,48.9,9,197.9,16.9,-15.4830992,0.74,"Rain, Partially cloudy",FALSE,,
1613,5/31/2024,52,21,12,,,0.335329852,,,,,,,,,,,,,,,,,,,,,,33.6,26.1,29.4,29.40553348,43.8,26.1,34.7,25.5,80.5,7.255,100,25,TRUE,37.1,10.8,10.8,5.3,0.5,195.8,1006.2,58.2,9.6,140.3,12.1,,0.75,"Rain, Partially cloudy",FALSE,Hot,No
1614,6/1/2024,44,21,10,,,0.266774984,,,,,,,,,,,,,,,,,,,412,479,,31.9,27,29.5,29.49365479,39.8,30.3,35.6,25.3,78.7,14.8,100,16.67,TRUE,41,11.1,11.1,6.1,1,171.3,1008.4,55.3,9.9,139.6,12,5,0.81,"Rain, Partially cloudy",TRUE,,Yes
1615,6/2/2024,39,24,10,,,0.605900686,,,,,,,,,,,,,,,,,,,,,,34.5,28.1,30.8,30.7928966,42.3,32,36.6,24.4,69.4,0.047,100,8.33,TRUE,36.4,10.8,10.8,5.7,1.3,213.6,1010.1,49.2,10,144.7,12.5,6,0.85,"Rain, Partially cloudy",TRUE,Rainy,Yes
1616,6/3/2024,52,32,12,,,0.04674569,,,,,,,,,,,,,,,,,,,,,,34.1,28,31,30.98076553,42.2,31.3,36.1,23.6,65.3,0,0,0,FALSE,35.3,11.3,11.3,5.7,1.6,239.9,1009.2,47.9,10,180.5,15.6,7,0.88,Partially cloudy,FALSE,,No
