obs_id,date,daily_ktCO2,pm25,pm10,o3,no2,so2,env_index,Car_7-9,Van_7-9,Bus_7-9,Minibus_7-9,Truck_7-9,3Cycle_7-9,Car_9-17,Van_9-17,Bus_9-17,Minibus_9-17,Truck_9-17,3Cycle_9-17,Car_17-19,Van_17-19,Bus_17-19,Minibus_17-19,Truck_17-19,3Cycle_17-19,avg_ridership_monthly,avg_ridership_workday_monthly,TCI,tempmax,tempmin,temp,temp_calib,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,rain,windgust,windspeed,windspeedmax,windspeedmean,windspeedmin,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,conditions,weekend,seasons,holiday
1,1/1/2020,42.471115,74,46,11,15,,0.506768277,,,,,,,,,,,,,,,,,,,397,443,12.7,32.4,25.2,28.8,28.79933561,35.3,25.2,30,19.9,59.9,0,0,0,FALSE,40.7,25,25,10.9,1.5,72.9,1015.6,47.4,9.9,113.1,9.9,5,0.19,Partially cloudy,FALSE,,Yes
2,1/2/2020,44.128139,93,52,12,18,,0.673506714,,,,,,,,,,,,,,,,,,,,,8.04,32.8,24.5,28.5,28.48408907,36.2,24.5,29.9,20.2,61.9,0,0,0,FALSE,38.9,25.4,25.4,10.1,0.9,63.1,1016.4,34.4,10,82.6,7.2,3,0.22,Partially cloudy,FALSE,Cool,No
3,1/3/2020,44.960525,102,56,16,18,,0.440693179,,,,,,,,,,,,,,,,,,,,,16.38,33.5,24.2,28.7,28.73325504,37.5,24.2,30.1,20.5,62.4,0,0,0,FALSE,38.9,17.9,17.9,7.5,0.5,74.2,1014.6,35.5,9.8,88.8,7.8,3,0.25,Partially cloudy,FALSE,Cool,No
4,1/4/2020,44.52426,121,61,15,17,,0.109701984,,,,,,,,,,,,,,,,,,,,,13.17,33.3,23.7,28.7,28.70351695,36.5,23.7,30.1,20.6,63,0,0,0,FALSE,25.9,17.9,17.9,6.6,0.2,73.7,1012.6,30.4,9.9,85.3,7.3,3,0.29,,,Cool,Yes
5,1/5/2020,44.428186,130,66,14,27,,0.643136641,,,,,,,,,,,,,,,,,,,,,9,33.6,25,28.9,28.89265072,36,25,30.2,19.9,59.4,0,0,0,FALSE,30.6,19.5,19.5,8.2,0.8,94.5,1012.6,31.6,9.7,88.7,7.5,3,0.32,Partially cloudy,,Cool,Yes
6,1/6/2020,46.769288,135,69,15,22,,0.502581072,,,,,,,,,,,,,,,,,,,,,32.68,34.1,24.5,29.1,29.11093515,36.9,24.5,30,20,60.4,0,0,0,FALSE,35.3,17.5,17.5,6.2,0,89.1,1012.6,29.5,9.5,90.6,7.8,3,3.390925542,,FALSE,Cool,No
7,1/7/2020,47.769885,139,71,13,22,,0.882874792,,,,,,,,,,,,,,,,,,,,,54.94,35,23.5,29.3,29.29737174,36.8,23.5,30.2,19.9,61.1,0,0,0,FALSE,31.7,14.3,14.3,6.5,0.6,106.5,1011.9,20,8.5,90.3,7.7,,0.38,Clear,,Cool,No
8,1/8/2020,47.848168,149,70,18,21,,0.17147525,,,,,,,,,,,,,,,,,,,,,52.62,34.4,24.7,29.3,29.29271155,37.2,24.7,30.9,21.3,64.9,0,0,0,FALSE,37.1,17.9,17.9,7.1,0.7,83.8,1011.3,16.1,8,82,7,3,0.42,Clear,,Cool,No
9,1/9/2020,47.602928,140,93,13,30,,0.039954679,,,,,,,,,,,,,,,,,,,,,54.94,34.8,26,30.3,30.28480241,38.9,26,32.7,21.8,62.9,0,0,0,FALSE,23.8,15.7,15.7,5.9,0.5,60.9,1010.7,25.7,8.2,86.5,7.4,3,0.45,Partially cloudy,FALSE,Cool,No
10,1/10/2020,48.42795,180,64,16,14,,0.701305434,,,,,,,,,,,,,,,,,,,,,50.4,35,26.2,30.3,30.3064618,39.8,26.2,33.6,22.4,64.1,0,0,0,,16.9,11.2,11.2,5.3,0.2,92.3,1009.7,34.6,7.9,65,5.6,3,0.48,Partially cloudy,FALSE,Cool,No
